epoch,train_loss,train_acc,test_acc,lr
1,2.2289,0.3820,0.0004,0.001000
2,1.6184,0.5365,0.0004,0.001000
3,1.4240,0.5957,0.0012,0.001000
4,1.2827,0.6292,0.0012,0.001000
5,1.1956,0.6513,0.0012,0.001000
6,1.1270,0.6787,0.0012,0.001000
7,1.0754,0.6877,0.0012,0.001000
8,1.0209,0.6994,0.0012,0.001000
9,1.0071,0.7091,0.0012,0.001000
10,0.9531,0.7150,0.0012,0.001000
11,0.9381,0.7186,0.0012,0.001000
12,0.9061,0.7362,0.0012,0.001000
13,0.8727,0.7395,0.0012,0.001000
14,0.8783,0.7372,0.0012,0.001000
15,0.8397,0.7500,0.0012,0.001000
16,0.8283,0.7545,0.0012,0.001000
17,0.8196,0.7565,0.0012,0.001000
18,0.8046,0.7611,0.0012,0.001000
19,0.7798,0.7686,0.0012,0.001000
20,0.7529,0.7684,0.0012,0.000500
21,0.6625,0.7984,0.0012,0.000500
22,0.6239,0.8116,0.0012,0.000500
23,0.6167,0.8078,0.0012,0.000500
24,0.6083,0.8126,0.0012,0.000500
25,0.6104,0.8099,0.0012,0.000500
26,0.5826,0.8177,0.0012,0.000500
27,0.5794,0.8189,0.0012,0.000500
